"Time" "GATdat80.x" "GATdat80.y" "GATdat20.x" "GATdat20.y" "GAT20" "GAT80" "MAT" "CMT" "SST20" "SST80"
"9420" 25.084 25.084 17.7712027175987 25.084 17.6612651263153 15.3085344534459 15.4285409507323 9.72179754669273 -1.47152908390461 18.9513293727584 19.0383802681171
"9421" 25.088 25.088 17.7701417531985 25.088 17.6608584557623 15.3084685867685 15.4277141055339 9.7215195483934 -1.47185672031575 18.9510925518394 19.0373859902774
"9422" 25.092 25.092 17.7690819915088 25.092 17.6604514627604 15.3084023744183 15.4268884375305 9.72124243242125 -1.47218312493177 18.9508554334984 19.0363929789518
"9423" 25.096 25.096 17.7680232862441 25.096 17.6600441501659 15.3083358192895 15.4260638004828 9.72096605248662 -1.47250844403748 18.950618020599 19.0354010878612
"9424" 25.1 25.1 17.766965491119 25.1 17.659636520835 15.3082689242761 15.4252400481514 9.72069026229986 -1.4728328239177 18.9503803160052 19.0344101707264
"9425" 25.104 25.104 17.7659084598479 25.104 17.659228577624 15.3082016922723 15.424417034297 9.7204149155713 -1.47315641085721 18.9501423225807 19.0334200812682
"9426" 25.108 25.108 17.7648520461452 25.108 17.6588203233892 15.3081341261722 15.4235946126804 9.72013986601129 -1.47347935114085 18.9499040431893 19.0324306732074
"9427" 25.112 25.112 17.7637961037254 25.112 17.6584117609869 15.30806622887 15.4227726370623 9.71986496733019 -1.47380179105339 18.9496654806949 19.0314418002648
"9428" 25.116 25.116 17.7627404863031 25.116 17.6580028932733 15.3079980032598 15.4219509612033 9.71959007323831 -1.47412387687967 18.9494266379612 19.0304533161612
"9429" 25.12 25.12 17.7616850475927 25.12 17.6575937231048 15.3079294522358 15.4211294388642 9.71931503744601 -1.47444575490449 18.949187517852 19.0294650746176
"9430" 25.124 25.124 17.7606296413087 25.124 17.6571842533376 15.3078605786919 15.4203079238056 9.71903971366364 -1.47476757141265 18.9489481232313 19.0284769293547
"9431" 25.128 25.128 17.7595741211655 25.128 17.6567744868279 15.3077913855224 15.4194862697882 9.71876395560152 -1.47508947268895 18.9487084569627 19.0274887340933
"9432" 25.132 25.132 17.7585183408776 25.132 17.656364426432 15.3077218756214 15.4186643305727 9.71848761697 -1.47541160501822 18.9484685219101 19.0265003425544
"9433" 25.136 25.136 17.7574621541596 25.136 17.6559540750063 15.307652051883 15.4178419599198 9.71821055147943 -1.47573411468526 18.9482283209373 19.0255116084587
"9434" 25.14 25.14 17.7564054147258 25.14 17.655543435407 15.3075819172012 15.41701901159 9.71793261284015 -1.47605714797486 18.9479878569082 19.0245223855273
"9435" 25.144 25.144 17.7553479762909 25.144 17.6551325104903 15.3075114744703 15.4161953393442 9.7176536547625 -1.47638085117185 18.9477471326865 19.0235325274808
"9436" 25.148 25.148 17.7542896925691 25.148 17.6547213031126 15.3074407265843 15.4153707969428 9.71737353095683 -1.47670537056102 18.9475061511361 19.0225418880402
"9437" 25.152 25.152 17.7532304172751 25.152 17.6543098161301 15.3073696764373 15.4145452381467 9.71709209513346 -1.47703085242718 18.9472649151207 19.0215503209264
"9438" 25.156 25.156 17.7521700041233 25.156 17.6538980523991 15.3072983269234 15.4137185167164 9.71680920100276 -1.47735744305515 18.9470234275043 19.0205576798603
"9439" 25.16 25.16 17.7511083068282 25.16 17.6534860147759 15.3072266809367 15.4128904864125 9.71652470227505 -1.47768528872974 18.9467816911506 19.0195638185627
"9440" 25.164 25.164 17.7500451791043 25.164 17.6530737061168 15.3071547413713 15.4120610009957 9.71623845266069 -1.47801453573573 18.9465397089234 19.0185685907545
"9441" 25.168 25.168 17.748980474666 25.168 17.6526611292779 15.3070825111214 15.4112299142267 9.71595030587001 -1.47834533035796 18.9462974836866 19.0175718501568
"9442" 25.172 25.172 17.7479140472277 25.172 17.6522482871157 15.307009993081 15.410397079866 9.71566011561335 -1.47867781888121 18.9460550183041 19.0165734504903
"9443" 25.174 25.174 17.7473801416695 25.174 17.6520417674308 15.3069736270437 15.409979961639 9.71551420846976 -1.47884474406973 18.945933696453 19.0160735827941
"9444" 25.178 25.178 17.7463108554461 25.178 17.651628532639 15.3069006827439 15.409144231692 9.71522067872104 -1.47918004772854 18.9456908762215 19.0150724202512
"9445" 25.182 25.182 17.745239480509 25.182 17.6512150396644 15.3068274578889 15.4083063885549 9.71492473978219 -1.47951741100042 18.9454478230036 19.014069232942
"9446" 25.186 25.186 17.7441658705727 25.186 17.6508012913635 15.3067539553726 15.4074662859882 9.71462624536357 -1.47985698017014 18.9452045396634 19.0130638745873
"9447" 25.19 25.19 17.7430898793517 25.19 17.6503872905923 15.3066801780892 15.4066237777527 9.71432504917551 -1.48019890152253 18.9449610290646 19.012056198908
"9448" 25.194 25.194 17.7420113605604 25.194 17.6499730402073 15.3066061289328 15.4057787176089 9.71402100492837 -1.4805433213424 18.9447172940711 19.0110460596251
"9449" 25.198 25.198 17.7409301679134 25.198 17.6495585430646 15.3065318107974 15.4049309593174 9.71371396633247 -1.48089038591454 18.9444733375466 19.0100333104596
"9450" 25.202 25.202 17.7398461551251 25.202 17.6491438020206 15.3064572265772 15.4040803566388 9.71340378709816 -1.48124024152378 18.9442291623551 19.0090178051324
"9451" 25.206 25.206 17.7387591759099 25.206 17.6487288199315 15.3063823791661 15.4032267633336 9.71309032093579 -1.48159303445491 18.9439847713604 19.0079993973645
"9452" 25.21 25.21 17.7376690839824 25.21 17.6483135996537 15.3063072714582 15.4023700331625 9.71277342155569 -1.48194891099275 18.9437401674262 19.0069779408768
"9453" 25.214 25.214 17.736575733057 25.214 17.6478981440433 15.3062319063477 15.401510019886 9.71245294266821 -1.48230801742209 18.9434953534165 19.0059532893904
"9454" 25.218 25.218 17.7354789768483 25.218 17.6474824559567 15.3061562867285 15.4006465772647 9.71212873798369 -1.48267050002775 18.9432503321951 19.0049252966262
"9455" 25.22 25.22 17.7349292760484 25.22 17.6472745256274 15.3061183823826 15.4002135242499 9.71196519275203 -1.4828530531107 18.9431277447749 19.0044100015527
"9456" 25.224 25.224 17.7338271376292 25.224 17.646858494182 15.3060423864269 15.3993446634124 9.71163512507885 -1.48322087426486 18.9428824181056 19.0033767225986
"9457" 25.228 25.228 17.7327212282128 25.228 17.646442237401 15.3059661431977 15.3984720076315 9.71130096588448 -1.48359243730734 18.9426368913841 19.0023397366693
"9458" 25.23 25.23 17.7321668136664 25.23 17.6462340254023 15.3059279297599 15.3980342109375 9.71113230625133 -1.48377966775072 18.9425140538988 19.0018198078766
"9459" 25.234 25.234 17.7310549734689 25.234 17.6458174359735 15.3058513210468 15.3971555885425 9.71079173548208 -1.48415711790973 18.9422682324689 19.0007769872112
"9460" 25.236 25.236 17.7304975112464 25.236 17.6456090592575 15.305812926495 15.3967147262817 9.71061978777356 -1.48434737419656 18.9421452492402 19.0002540587686
"9461" 25.24 25.24 17.7293794111253 25.24 17.6451921436075 15.3057359588097 15.3958298082339 9.71027247627769 -1.48473104061291 18.9418991395455 18.9992050742393
"9462" 25.242 25.242 17.7288187366554 25.242 17.6449836053876 15.3056973863997 15.3953857158871 9.71009707591793 -1.48492448731361 18.9417760137953 18.9986789815829
"9463" 25.246 25.246 17.7276940474683 25.246 17.6445663699431 15.3056200662537 15.3944941731476 9.70974269454372 -1.48531469912811 18.9415296222794 18.9976235040622
"9464" 25.248 25.248 17.7271299961798 25.248 17.6443576734325 15.3055813192412 15.3940466861952 9.70956367695686 -1.4855115008131 18.9414063572296 18.9970940826281
"9465" 25.252 25.252 17.7259983887843 25.252 17.64394012462 15.3055036531462 15.3931481897253 9.70920189655257 -1.48590858716656 18.9411596903361 18.9960317829881
"9466" 25.256 25.256 17.724861986393 25.256 17.6435223704659 15.305425760036 15.3922448746358 9.7088350005995 -1.48631043940201 18.9409128434374 18.99496475242
"9467" 25.258 25.258 17.7242919413596 25.258 17.6433134172783 15.3053867292547 15.3917913644088 9.70864958857665 -1.48651319843949 18.9407893533811 18.9944294173257
"9468" 25.262 25.262 17.7231480721892 25.262 17.6428953604673 15.3053085010481 15.3908805471908 9.70827474500728 -1.48692247378194 18.9405422418444 18.9933550160923
"9469" 25.264 25.264 17.7225742114807 25.264 17.6426862575579 15.3052693043464 15.3904232036399 9.70808527688835 -1.48712902665812 18.9404186210799 18.9928159133835
"9470" 25.268 25.268 17.7214225463887 25.268 17.6422679045166 15.305190747555 15.3895045552546 9.70770215655097 -1.48754605424838 18.9401712513487 18.9917338123572
"9471" 25.27 25.27 17.7208447054338 25.27 17.6420586550987 15.3051513881888 15.3890432138603 9.7075084677601 -1.48775656553367 18.940047503098 18.99119077747
"9472" 25.274 25.274 17.7196849152779 25.274 17.6416400122537 15.3050725093242 15.3881164052688 9.70711674150296 -1.48818167451256 18.939799881616 18.9901006475232
"9473" 25.276 25.276 17.7191029295054 25.276 17.6414306195407 15.3050329905492 15.3876509015117 9.70691866746428 -1.48839630877737 18.9396760091008 18.9895535158939
