Age	Temperature
0.362	9.46866666666667
0.366	9.35133333333333
0.368	9.63
0.37	10.0846666666667
0.372	9.96733333333333
0.374	9.87933333333333
0.376	9.99666666666667
0.378	10.4572
0.38	10.6713333333333
0.382	10.0553333333333
0.384	10.7388
0.386	10.29
0.388	10.818
0.39	11.2081333333333
0.392	11.1113333333333
0.394	11.1846666666667
0.396	11.8153333333333
0.398	11.3166666666667
0.4	11.6598666666667
0.402	12.8126666666667
0.404	13.678
0.406	12.358
0.408	13.2233333333333
0.41	13.8041333333333
0.412	12.9974666666667
0.414	12.6161333333333
0.416	10.7886666666667
0.418	10.5305333333333
0.422	10.6361333333333
0.424	8.0636
0.426	8.33933333333333
0.428	9.6652
0.43	9.66813333333333
0.432	9.06093333333333
0.434	9.2428
0.436	9.08733333333333
0.438	9.37186666666667
0.442	9.42466666666667
0.444	10.1433333333333
0.448	10.1726666666667
0.454	9.55666666666667
0.456	9.234
0.462	11.0526666666667
0.464	9.70333333333333
0.466	9.86466666666667
0.47	10.642
0.472	10.554
0.474	10.994
0.484	11.8065333333333
0.486	11.4633333333333
0.488	12.5926666666667
0.492	12.1526666666667
0.494	12.094
0.496	12.0206666666667
0.498	10.2606666666667
0.5	11.0702666666667
0.502	11.3166666666667
0.504	11.258
0.506	10.6126666666667
0.508	11.1905333333333
0.51	11.214
0.512	11.1406666666667
0.514	11.2286666666667
0.516	11.258
0.518	11.4868
0.52	11.2286666666667
0.522	11.4046666666667
0.524	10.8972
0.526	11.0878666666667
0.528	10.5481333333333
0.53	10.2049333333333
0.532	9.7532
0.534	9.25746666666667
0.536	9.50386666666667
0.538	9.43346666666666
0.54	9.55666666666667
0.542	9.65346666666667
0.544	9.98786666666667
0.546	10.0846666666667
0.548	10.5833333333333
0.55	10.6038666666667
0.552	10.29
0.554	11.4046666666667
0.556	11.1406666666667
0.558	10.6713333333333
0.56	12.8713333333333
0.562	10.6566666666667
0.564	11.6246666666667
0.566	10.6126666666667
0.568	11.5718666666667
0.57	12.8713333333333
0.572	12.3668
0.574	12.6073333333333
0.576	12.798
0.578	12.8801333333333
0.58	13.3406666666667
0.582	11.8857333333333
0.584	10.6126666666667
0.586	10.5305333333333
0.588	10.3926666666667
0.59	10.3398666666667
0.592	9.35133333333333
0.594	10.5833333333333
0.596	10.994
0.598	11.2198666666667
0.6	10.9676
0.602	11.0644
0.604	11.4046666666667
0.606	11.1348
0.608	11.5806666666667
0.61	11.9473333333333
0.612	11.654
0.614	12.0910666666667
0.616	12.5516
0.618	12.5692
0.62	12.2201333333333
0.622	11.4516
0.624	9.718
0.626	11.1201333333333
0.628	8.354
0.63	7.9492
0.632	7.97853333333333
0.634	7.89053333333333
0.636	8.19853333333333
0.638	8.21613333333333
0.64	8.47133333333333
0.642	8.61506666666667
0.644	8.60333333333333
0.646	8.8116
0.648	9.03453333333333
0.65	9.102
0.652	8.9524
0.654	9.30146666666667
0.656	9.1988
0.658	9.366
0.66	9.4628
0.662	9.44226666666667
0.664	9.41
0.666	9.78546666666666
0.668	9.08733333333333
0.67	9.45106666666667
0.672	9.79426666666667
0.674	9.498
0.676	9.78253333333333
0.678	10.8766666666667
0.68	10.0553333333333
0.682	10.1932
0.684	9.96733333333333
0.686	10.5276
0.688	11.8153333333333
0.69	11.4604
0.692	11.0966666666667
0.694	11.742
0.696	11.7185333333333
0.698	11.8241333333333
0.7	12.2318666666667
0.702	12.2406666666667
0.704	11.9678666666667
0.706	12.4313333333333
0.708	12.1204
0.71	11.5190666666667
0.712	11.4193333333333
0.714	11.3401333333333
0.716	11.5806666666667
0.718	10.1932
0.72	10.4894666666667
0.722	10.0788
0.724	9.68866666666667
0.726	9.74146666666667
0.728	10.2284
0.73	10.6009333333333
0.732	10.9382666666667
0.734	10.9294666666667
0.736	10.9177333333333
0.738	10.8121333333333
0.74	10.5276
0.742	10.6713333333333
0.744	9.64466666666667
0.746	9.75906666666667
0.748	9.17533333333333
0.75	9.92333333333333
0.752	9.60066666666667
0.754	10.1257333333333
0.756	9.806
0.758	9.97906666666666
0.76	10.0553333333333
0.762	10.3926666666667
0.764	10.3046666666667
0.766	10.3721333333333
0.768	11.0116
0.77	11.0086666666667
0.772	10.8502666666667
0.774	11.4252
0.776	11.6510666666667
0.778	11.742
0.78	12.6601333333333
0.782	12.2758666666667
0.784	12.0646666666667
0.786	12.6366666666667
0.788	13.1382666666667
0.79	12.0881333333333
0.792	11.7038666666667
0.796	9.48333333333333
0.798	8.618
0.8	8.91133333333333
0.802	9.38946666666667
0.804	9.29266666666667
0.806	9.5068
0.808	10.1228
0.81	10.642
0.812	10.0964
0.814	10.7358666666667
0.816	10.9705333333333
0.818	11.522
0.82	11.6745333333333
0.822	11.7126666666667
0.824	12.3228
0.826	11.3753333333333
0.828	11.4281333333333
0.83	11.038
0.832	11.5073333333333
0.834	11.7625333333333
0.838	11.61
0.84	10.4806666666667
0.842	11.7273333333333
0.844	11.9385333333333
0.846	12.402
0.848	12.6366666666667
0.85	12.27
0.852	13.062
0.854	12.4078666666667
0.856	11.8006666666667
0.858	12.1321333333333
