Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
20600	-448.98949247825	4	2	2
20700	-450.22244859459	5	2	1
20800	-441.306013741426	4	2	0
20900	-451.186593043917	5	1	0
21000	-447.518494840646	4	1	0
21100	-450.151344021972	4	1	1
21200	-444.119662416719	4	2	0
21300	-445.74670300236	5	2	1
21400	-450.869044301197	4	3	1
21500	-441.681720874437	4	3	1
21600	-447.392446635836	4	1	2
21700	-443.228333102333	5	1	0
21800	-445.600448651435	5	1	0
21900	-448.6026811103	5	2	0
22000	-451.233611313706	6	2	1
22100	-450.003386847584	5	2	0
22200	-447.350575775323	5	1	0
22300	-452.670711691044	6	2	1
22400	-447.332425646163	4	2	1
22500	-448.601829189549	4	2	0
22600	-446.236629428554	5	1	0
22700	-445.121776262113	4	1	1
22800	-456.763714380839	7	1	0
22900	-449.889978607473	3	1	1
23000	-456.874631988593	3	2	4
23100	-458.675795529288	4	4	0
23200	-449.477906997143	3	1	2
23300	-454.825933781696	2	1	5
23400	-447.123707905617	2	1	3
23500	-450.964361745789	2	1	4
23600	-448.040180447764	2	2	1
23700	-455.456951253309	2	4	2
23800	-450.634020093689	2	3	1
23900	-446.926999601674	3	2	1
24000	-448.933023694351	5	3	2
24100	-442.125854581449	4	2	1
24200	-443.868904297732	4	1	1
24300	-443.906505600346	3	2	2
24400	-458.304475415104	4	3	1
24500	-448.653186273874	3	1	2
24600	-444.90736591073	3	2	2
24700	-441.526155967434	3	2	1
24800	-445.205904995448	3	2	1
24900	-450.479483854409	3	2	2
25000	-454.13427139148	5	2	2
25100	-454.285638898767	6	2	2
25200	-449.179066256745	3	1	2
25300	-459.077053193473	4	2	2
25400	-450.005090619665	3	2	2
25500	-450.906453971984	4	1	0
25600	-451.622895683374	3	1	1
25700	-447.427358350077	3	3	1
25800	-446.132345676686	3	1	3
25900	-450.327649531268	2	2	0
26000	-455.073313853998	5	1	1
26100	-449.576303777805	4	3	1
26200	-451.221239693764	5	1	1
26300	-447.980776312291	5	3	0
26400	-455.578833798862	5	5	1
26500	-450.106447449549	5	2	1
26600	-444.989322290368	4	2	0
26700	-448.501296388793	4	1	2
26800	-445.328082981727	3	3	2
26900	-447.329277341274	3	2	3
27000	-442.99535394753	4	1	0
27100	-444.073175702206	4	2	0
27200	-445.760867878547	3	1	2
27300	-450.462083609327	3	1	0
27400	-451.60071751023	3	1	3
27500	-452.175012549291	3	4	2
27600	-450.611813759744	3	2	3
27700	-448.13465113153	3	3	3
27800	-451.309108331728	4	3	1
27900	-447.066830607935	4	2	0
28000	-462.658878088961	8	1	0
28100	-448.558232329724	4	1	1
28200	-447.053699176009	3	2	0
28300	-443.7777614425	3	2	2
28400	-451.578290565502	4	3	0
28500	-448.148618808359	4	2	1
28600	-453.491330906489	6	2	2
28700	-449.940231762104	4	1	2
28800	-457.59793555984	7	1	2
28900	-443.5133072188	4	2	2
29000	-448.571378868149	4	3	2
29100	-444.291755356663	4	2	1
29200	-446.130542294231	4	1	1
29300	-441.262548481247	4	3	1
29400	-446.313042737119	4	3	0
29500	-445.288227153844	4	2	0
29600	-453.530050150001	4	1	1
29700	-459.795170347582	5	2	2
29800	-447.500842810255	4	2	1
29900	-455.553721005035	6	2	2
30000	-454.629602315784	4	3	1
30100	-454.038016494602	3	3	4
30200	-440.41723287079	3	3	1
30300	-448.010075399632	4	1	1
30400	-445.369998140311	3	3	1
30500	-460.40741765656	6	3	2
30600	-445.251080518908	3	1	3
30700	-446.930189807716	4	2	1
30800	-446.433511252492	3	2	2
30900	-458.262120372928	4	1	3
31000	-455.705783758279	4	2	1
31100	-450.805579463514	5	1	1
31200	-448.640352321118	4	2	2
31300	-444.000175921044	3	2	1
31400	-451.124876252631	4	3	2
31500	-446.698290260609	3	2	3
31600	-456.861345161403	4	4	2
31700	-443.31209846685	3	2	2
31800	-451.366233709385	4	3	2
31900	-441.989676580254	3	1	2
32000	-449.327060296314	3	1	2
32100	-448.155599355923	3	3	2
32200	-451.253895390507	4	2	3
32300	-445.842893649804	3	2	2
32400	-448.74185539098	3	1	3
32500	-447.77226990041	4	3	2
32600	-447.930206700163	4	2	1
32700	-452.769183359003	3	7	2
32800	-443.041290788965	3	1	1
32900	-456.014199778035	4	3	4
33000	-448.70050672689	3	1	1
33100	-442.715299609198	3	3	1
33200	-455.995441071648	4	2	1
33300	-447.458736760514	5	3	2
33400	-464.567083617201	7	5	1
33500	-445.255100821046	4	3	2
33600	-443.740519110155	2	2	1
33700	-449.356527000839	4	3	1
33800	-456.340925108374	5	2	0
33900	-456.053283863988	4	1	3
34000	-452.329444532295	3	2	2
34100	-444.297092575299	3	2	1
34200	-446.294144952622	3	1	1
34300	-449.528535272685	3	2	2
34400	-442.835411584874	3	1	2
34500	-441.759422283505	3	3	1
34600	-445.604175744341	2	2	1
34700	-451.496229314368	3	1	2
34800	-444.589236435404	4	3	0
34900	-455.041231271102	5	1	3
35000	-454.082360310215	5	1	1
35100	-449.746088292676	4	3	0
35200	-450.461926604979	6	3	1
35300	-443.103651423234	4	1	1
35400	-454.031861013578	5	1	0
35500	-447.012948278792	3	2	2
35600	-453.463400492491	4	3	2
35700	-448.594453866652	5	2	0
35800	-456.88667729631	4	2	2
35900	-458.302841094312	4	1	0
36000	-455.258170594129	4	4	1
36100	-450.404279963106	4	3	2
36200	-450.458631198074	4	3	0
36300	-447.132165922606	4	2	2
36400	-449.70748609128	4	3	3
36500	-455.413954076018	3	2	4
36600	-452.216058419426	3	3	1
36700	-450.931620764298	4	3	3
36800	-447.632079273929	3	2	1
36900	-451.024131960282	5	3	1
37000	-454.092241082048	5	2	3
37100	-449.943532206255	5	2	1
37200	-449.447271534645	6	1	0
37300	-445.865344407056	4	1	2
37400	-449.332057519166	4	2	0
37500	-451.649057441743	3	1	1
37600	-449.868018559685	4	2	0
37700	-454.519260142981	4	1	0
37800	-450.690023275267	6	3	0
37900	-448.695083633037	3	2	1
38000	-456.219181550965	3	2	1
38100	-451.733965182693	3	3	2
38200	-443.809903036096	3	1	1
38300	-444.405558821317	3	2	1
38400	-447.050908392096	3	5	1
38500	-443.300488441731	3	1	2
38600	-454.143246065691	4	4	1
38700	-449.797017726737	4	3	1
38800	-468.38591359275	6	3	2
38900	-448.701007769628	3	1	1
39000	-454.134228893455	4	1	2
39100	-453.867805738816	4	1	2
39200	-455.209789593204	4	3	1
39300	-440.712509357286	4	3	1
39400	-448.891112493529	3	2	2
39500	-454.063593217037	5	2	1
39600	-448.096563402879	3	3	1
39700	-454.572658148744	4	3	2
39800	-447.411887760572	5	2	1
39900	-450.608907387085	4	2	3
40000	-462.071950378798	4	1	1
40100	-447.475321435071	5	2	1
40200	-444.177819648444	3	2	1
40300	-455.772219922035	3	3	0
40400	-446.802991479733	4	1	2
40500	-449.975804213561	4	1	1
40600	-445.777170431482	4	2	0
40700	-448.698213394741	4	1	1
40800	-447.174295892533	4	1	1
40900	-454.500234002467	3	2	4
41000	-442.911533627273	3	1	2
41100	-450.6331949993	3	1	2
41200	-444.417181136093	3	1	3
41300	-446.89197694834	3	3	3
41400	-449.466201792128	5	2	2
41500	-443.665666086644	3	1	2
41600	-451.187993566628	3	1	5
41700	-453.690996707139	4	1	4
41800	-453.408395199049	3	2	3
41900	-447.263855183126	3	1	3
42000	-455.887337498041	5	1	3
42100	-466.396782356043	4	2	4
42200	-449.033318490218	5	1	1
42300	-452.909413388931	4	2	1
42400	-450.555674538177	4	1	3
42500	-460.216184036086	4	3	3
42600	-461.96651765985	7	4	0
42700	-446.630173389326	4	4	1
42800	-443.71436840672	4	2	1
42900	-443.260940046735	4	1	1
43000	-452.804862292535	4	1	1
43100	-445.75961631561	3	1	0
43200	-444.653570889251	5	4	0
43300	-455.277559497114	3	1	2
43400	-455.447139660431	4	1	1
43500	-459.794061895875	4	3	2
43600	-450.835103461048	3	3	1
43700	-451.890001097906	2	3	4
43800	-444.936199484292	3	2	0
43900	-446.620653308132	3	1	1
44000	-449.931228370701	4	3	0
44100	-449.923491004951	4	1	2
44200	-448.549823664364	5	1	1
44300	-456.174014104654	4	4	1
44400	-449.008448553086	5	2	0
44500	-461.003650282638	5	4	3
44600	-452.187950578005	4	3	1
44700	-448.585771300972	4	2	0
44800	-457.630292997171	5	2	2
44900	-455.256165313086	4	1	2
45000	-447.762412155416	5	2	0
45100	-445.230295603342	4	1	1
45200	-444.532342231318	4	1	2
45300	-442.101419554425	4	2	1
45400	-446.084863745061	4	1	0
45500	-455.828023818712	3	4	1
45600	-453.861675349396	4	1	0
45700	-441.586927656833	3	1	1
45800	-451.257099340174	4	3	1
45900	-448.247889948079	3	1	2
46000	-447.604873462066	3	2	1
46100	-447.045679040999	4	1	2
46200	-442.147896400474	3	1	2
46300	-445.325516927346	4	2	1
46400	-453.470309093734	3	3	2
46500	-447.946859399146	4	3	2
46600	-452.09188317661	4	2	4
46700	-454.78348425856	4	1	3
46800	-449.365249735515	4	1	1
46900	-439.860861009991	3	1	1
47000	-456.081598527583	5	2	2
47100	-440.697801335782	3	2	1
47200	-447.382094422211	4	1	1
47300	-443.998769306585	3	1	1
47400	-443.67335854409	3	1	2
47500	-443.27689355517	3	1	2
47600	-447.494046049234	3	3	1
47700	-442.160552613231	3	2	1
47800	-456.12333989567	4	3	1
47900	-458.166467721421	4	5	1
48000	-445.112039576878	3	1	2
48100	-449.33174950709	3	2	3
48200	-444.094798669714	4	1	1
48300	-454.348766548427	3	3	0
48400	-445.284321426412	3	1	0
48500	-444.876029427401	3	1	0
48600	-454.545373699005	4	2	3
48700	-457.704707484975	2	1	6
48800	-451.761101929386	3	3	2
48900	-450.460877045467	4	1	2
49000	-459.457023616075	6	3	2
49100	-442.715558530956	3	2	1
49200	-445.249447926901	3	1	2
49300	-447.262548395989	4	1	2
49400	-443.14742970962	4	2	1
49500	-441.129354073812	4	1	0
49600	-444.127823262587	4	1	0
